time,infectious_A,infectious_B
189.3954939669881,6.0,5.0
189.57023479230494,6.0,6.0
189.64391876873773,5.0,6.0
190.0802010123211,5.0,7.0
190.2404902675051,4.0,7.0
190.31497880051316,3.0,7.0
190.35259706280215,3.0,6.0
190.61943923585446,3.0,5.0
190.82850532354425,4.0,5.0
190.84333155131142,5.0,5.0
192.08500023570565,5.0,4.0
192.1775972341204,5.0,5.0
192.1868067661473,4.0,5.0
192.6455693214619,4.0,4.0
192.923184664673,4.0,5.0
192.94039886526852,4.0,4.0
193.68029351260995,4.0,5.0
194.41264892160623,4.0,6.0
194.84156021505356,5.0,6.0
194.8498276852952,4.0,6.0
195.36222605141,5.0,6.0
195.81470844423902,5.0,7.0
196.2944507813798,5.0,6.0
196.77617305425338,4.0,6.0
197.64005533134008,5.0,6.0
198.5319851102229,4.0,6.0
198.7730048772615,4.0,6.0
198.97636761545354,5.0,6.0
199.345356300773,5.0,7.0
199.43830599085098,4.0,7.0
199.83107070061507,5.0,7.0
200.55938123097334,5.0,6.0
200.57036728371014,5.0,6.0
204.0801109028648,4.0,6.0
204.43921224076968,4.0,5.0
204.68683402915303,4.0,4.0
205.12353483719883,3.0,4.0
205.508585961279,3.0,3.0
206.21822383829908,3.0,4.0
206.44533626553056,3.0,3.0
206.47093199449125,3.0,4.0
206.48414813135577,3.0,3.0
206.70377678282242,2.0,3.0
209.74386001121303,2.0,4.0
210.75155894132803,2.0,3.0
210.82880722458108,2.0,4.0
210.96661341425101,2.0,5.0
211.10143373920025,2.0,6.0
211.3792984539055,2.0,5.0
211.5701565470113,2.0,4.0
211.93695827170214,3.0,4.0
212.4752722902177,2.0,4.0
213.45286655038078,2.0,4.0
214.1900755546068,1.0,4.0
215.98742795941132,1.0,3.0
217.58810075662274,1.0,2.0
218.04480587055525,1.0,1.0
219.431711649746,0.0,1.0
225.01329349163018,0.0,1.0
234.3641415007262,0.0,2.0
234.81614229194017,0.0,1.0
235.0634099204173,0.0,1.0
235.86018703478192,0.0,0.0
